artist_rank,artist_id,artist_name,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,4uRYpUQZrNrY5t8tAv3XrD,NERO,59,807755,drum and bass,"edm, electro house, melodic dubstep"
2,0lLY20XpZ9yDobkbHI7u1y,Pegboard Nerds,61,337195,brostep,"danish electronic, edm, electro house, gaming edm, glitch, speedrun"
3,7muzHifhMdnfN1xncRLOqk,Flux Pavilion,63,697273,bass trap,"brostep, classic dubstep, edm, electro house, electronic trap, pop dance"
4,5CdJjUi9f0cVgo9nFuJrFa,Adventure Club,58,279886,brostep,"canadian electronic, edm, electro house, electronic trap, electropop, filthstep, future bass, melodic dubstep, pop dance, pop edm"
5,6RQ9kYbHisp1UUbnfwHNeU,Feint,60,119137,chillstep,"dancefloor dnb, edm, gaming edm"
6,1kgxTtyF91VaqLD3J6Krd5,Hellberg,48,49576,chillstep,"complextro, edm, electro house, gaming edm, pop dance, pop edm"
7,3YAy9OUnnRsk2JLTaOLcw2,Mt. Eden,43,86840,chillstep,nz electronic
8,2DuJi13MWHjRHrqRUwk8vH,Knife Party,59,881486,australian dance,"brostep, complextro, edm, electro house, moombahton"
9,1k78cRCnTM3T7EhvhVeaKX,Xilent,37,51958,chillstep,"complextro, dubstep, electro house, filthstep, gaming dubstep, gaming edm, melodic dubstep, neurostep"
10,1DLsogyGi0pwPtwV78D8uZ,KDrew,46,64136,brostep,"complextro, edm, electro house, gaming edm"
11,5zYJziKktyqWwmoAWXrShP,Modestep,53,336829,brostep,"drum and bass, edm, electro house"
12,4HBMToZ4yMR07eiK9IxtjK,Klaypex,40,65480,complextro,"edm, electro house, filthstep"
13,40WIa01eubnEVkxUHeDZyF,Au5,55,89371,chillstep,"complextro, dubstep, edm, electro house, future bass, gaming edm, melodic dubstep, pop dance, pop edm"
14,5he5w2lnU9x7JFhnwcekXX,Skrillex,81,7947960,brostep,"complextro, edm, electro"
15,06EfEcjc0vdvI6VNL0soIO,Rameses B,52,90008,chillstep,"complextro, edm, electro house, gaming edm, melodic dubstep"
16,5fOzKeaM5PmZ2BcKKAtFeq,8D Tunes,63,267576,8d,
17,5FWi1mowu6uiU2ZHwr1rby,Feed Me,53,350593,complextro,"edm, electro house"
18,1IELhvOMg5VQlU7syRm6CS,CAZZETTE,54,330503,complextro,"edm, electro house, pop dance, pop edm, progressive electro house, progressive house, tropical house"
19,1JPy5PsJtkhftfdr6saN2i,Bassnectar,59,597032,bass music,"breakbeat, brostep, edm, electro house, electronic trap, glitch hop"
20,0Cd6nHYwecCNM1sVEXKlYr,Krewella,63,888824,dance pop,"edm, electra, electro house, electropop, pop dance"
21,28Ky95tmlHktB96DBUoB0g,Tristam,56,208719,brostep,"chillstep, dancefloor dnb, edm, electro house, gaming edm"
22,3a9qv6NLHnsVxJUtKOMHvD,The Glitch Mob,66,530117,edm,"electro house, glitch, glitch hop, indietronica"
23,0tgjwsn1Lpjj8kKEvWm0KQ,Doctor P,50,229545,brostep,"complextro, dubstep, edm, electro house, electronic trap, filthstep, gaming dubstep, moombahton"
24,5RBdF1pJSLF3ugc2Y2PoB8,Savant,47,159413,complextro,"edm, electro house, filthstep"
25,7lcbOlKjk4gLsCxd481hik,Astronaut,39,23268,complextro,"electro house, gaming edm"
26,7xYcJfhrRx9Iv8smhoEibc,Ephixa,49,80705,canadian electronic,"chillstep, complextro, edm, electro house, gaming edm"
27,00sAT5YX8W3xNd1EuqyHw9,Dada Life,54,410472,big room,"dance pop, edm, electro house, pop dance, progressive electro house, progressive house"
28,521qvhdobR0GzhvU6TFw76,Tritonal,61,212475,edm,"electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance, trance, tropical house, uplifting trance"
29,3qnMl4DHT4gndzFAcG4FlM,Kill The Noise,59,392624,brostep,"complextro, edm, electro house, electronic trap, fidget house"
30,0QaSiI5TLA4N7mcsdxShDO,Sub Focus,64,311533,dancefloor dnb,"drum and bass, uk dance, uk dnb"
31,6fcTRFpz0yH79qSKfof7lp,Seven Lions,65,408599,dubstep,"edm, electro house, future bass, pop dance, pop edm, progressive trance"
32,2BuSNpxpMGJGiAAWJYJT2t,Noisestorm,59,134159,bass trap,"chillstep, complextro, dancefloor dnb, edm, electro house, gaming edm, speedrun"
33,33o00sXuyWiApOFzo0vr0z,Crywolf,50,134278,chillstep,"edm, indie poptimism, melodic dubstep"
34,4A18NGfdKU0HrkmvVlPO7I,Fytch,48,33734,bass trap,"filthstep, future bass, traprun"
35,4BTcOR2hEQZQQL5AMo5u10,Rusko,51,274165,bassline,"brostep, classic dubstep, electro house, electronic trap"
36,0ycHhPwPvoaO4VGzmMnXGq,Zomboy,56,750545,brostep,"dubstep, edm, electro house, electronic trap, glitch"
37,4pb4rqWSoGUgxm63xmJ8xc,Madeon,62,595238,complextro,"edm, electro house, electropop, filter house, future bass, nantes indie, pop dance"
38,6EmSzH0r12lNsYQCFzCFS3,Tut Tut Child,40,56538,chillstep,"complextro, edm, electro house, gaming edm, glitch, melodic dubstep"
39,3jNkaOXasoc7RsxdchvEVq,Chase & Status,63,596150,dancefloor dnb,drum and bass
40,48q2mPVwlKnlSaCx07i6Ta,Datsik,50,333643,breakbeat,"brostep, canadian electronic, edm, electro house, electronic trap, filthstep"
41,0I2XqVXqHScXjHhk6AYYRe,Afasi & Filthy,33,13368,swedish hip hop,
42,3UCbp6D1lvILlxRJT9LnFa,Koven,59,85422,chillstep,"edm, electro house, melodic dubstep"
43,4FXGRMSHh2JjHxVwS8dhH1,Virtual Riot,59,299237,brostep,"complextro, dubstep, edm, electro house, electronic trap, future bass, gaming dubstep"
44,4zymhxzJ0UJc74tMHGyoWs,Dirtyphonics,50,153527,drum and bass,"dubstep, edm, electro house, french dnb, gaming dubstep, jump up"
45,6lO3fSdhsdpeOcrbqAJsRU,Aero Chord,56,207318,bass trap,"edm, electro house, gaming edm, traprun"
46,3sS2Q1UZuUXL7TZSbQumDI,Approaching Nirvana,50,75994,chillstep,"complextro, gaming edm"
47,7tOUuyCplrFWLXCZuhE3C4,tyDi,46,36969,australian dance,"edm, pop dance, progressive house, trance, uplifting trance"
48,16yUpGkBRgc2eDMd3bB3Uw,MitiS,56,124911,chillstep,"edm, filthstep, future bass, melodic dubstep, pop dance, pop edm"
49,6cwRqYSDYwWsLveCcDRhyY,Skrux,44,72814,chillstep,"future bass, melodic dubstep, pop edm"
50,6r20qOqY7qDWI0PPTxVMlC,DJ Fresh,61,271536,dancefloor dnb,"drum and bass, house, pop dance, tropical house, uk dance"
