track_rank,track_id,track_name,track_duration,track_is_explicit,track_popularity,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,4zLJ2iroCiubb8q3RsblVn,Bomfalleralla,3.927766666666667,False,39,21y4sclc2q199psUjcisyE,Bomfalleralla,2004,album,Afasi & Filthy,,0I2XqVXqHScXjHhk6AYYRe,,0.795,0.956,6,-0.145,0,0.219,0.00416,0.0,0.0648,0.73,33,13368,swedish hip hop,
2,0bGH7ezs7WdDwpqnsvGf1z,Purple Hat,2.9728166666666667,False,71,4L9MrIcjiPN4luIoWP8XgG,Purple Hat,2019,album,Sofi Tukker,,586uxXMyD5ObPuzjtrzO1Q,,0.777,0.744,9,-7.42,1,0.204,0.331,0.0073,0.088,0.654,71,588527,electropop,
3,6lbhkPbkKj6jnPTt1FelVo,Bullet Train (feat. Joni Fatora),4.0923,False,57,1Yd1ARdvNdMUo6KnuN6q6w,Bullet Train (feat. Joni Fatora),2012,album,Stephen Swartz,,2RMgYVDRYOGHlqqcushWNU,,0.546,0.703,8,-3.139,0,0.123,0.00797,0.000327,0.175,0.196,41,17757,,
4,1iBOtGRc3RlgxSfpKH8qnB,Sunlight,3.776883333333333,False,45,1qO419UppdxI82xDAy73Bj,Evolution Theory (Deluxe Edition),2013,album,Modestep,,5zYJziKktyqWwmoAWXrShP,,0.297,0.793,0,-6.329,1,0.144,0.000201,6.33e-06,0.117,0.428,53,336829,brostep,"drum and bass, edm, electro house"
5,0QIYINh2AwmOmdu8CRYvlw,Bonfire,4.5346166666666665,False,63,2KZKR8bLDZPUxOE6JhTh4X,Rage Valley,2012,album,Knife Party,,2DuJi13MWHjRHrqRUwk8vH,,0.536,0.944,1,-3.029,1,0.0867,0.000117,0.00345,0.353,0.589,59,881486,australian dance,"brostep, complextro, edm, electro house, moombahton"
6,6VRhkROS2SZHGlp0pxndbJ,Bangarang (feat. Sirah),3.58755,True,72,5XJ2NeBxZP3HFM8VoBQEUe,Bangarang EP,2011,album,Skrillex,Sirah,5he5w2lnU9x7JFhnwcekXX,3oAazIwC0nAYkOKVQPUC38,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,81,7947960,brostep,"complextro, edm, electro"
7,4UZifG6wVTl3dFIeHKLi8y,Promises,4.289766666666667,False,59,6GazPcWYAUnvB83tXIbs97,Welcome Reality,2011,album,NERO,,4uRYpUQZrNrY5t8tAv3XrD,,0.484,0.943,9,-4.364,0,0.0647,3.77e-05,0.00452,0.593,0.345,59,807755,drum and bass,"edm, electro house, melodic dubstep"
8,3Oiauiojgokw9vWQvFmEoI,Eyes on Fire - Zeds Dead Remix,5.333333333333333,False,59,5wFQEk3sV9Zjo3xnGZLS42,Eyes On Fire (Zed Dead Remix),2007,album,Blue Foundation,Zeds Dead,1FWybrAwiSa0zKibdLfZZr,67qogtRNI0GjUr8PlaG6Zh,0.614,0.726,11,-6.441,1,0.096,0.00869,0.00131,0.157,0.315,55,120720,dream pop,electronica
9,3lfGAVWfr3sdcrnv7PzfrM,Rabbit Whore - Original Mix,5.483366666666667,True,27,3XDkZMWZYxct2h2P3cbtwS,Ninur,2011,album,Savant,Blood Command,5RBdF1pJSLF3ugc2Y2PoB8,4WfUbvICLrqPW9rzuNGS1f,0.573,0.624,7,-9.52,0,0.0367,0.00474,0.0,0.185,0.269,47,159413,complextro,"edm, electro house, filthstep"
10,03EuhmMsEHVFI9ytainStU,I Can't Stop,5.065183333333334,False,59,4nr0xtBBSdHcnaq3iSqEIr,Lines in Wax,2010,album,Flux Pavilion,,7muzHifhMdnfN1xncRLOqk,,0.513,0.775,0,-7.202,0,0.0304,0.000672,0.248,0.409,0.205,63,697273,bass trap,"brostep, classic dubstep, edm, electro house, electronic trap, pop dance"
11,3mYP2JXlrv2iLyU8GIAszA,Bullseye,4.14285,False,52,5Bso4UAc8nYhqF2ffkkagL,"Free, Vol. 4",2012,album,KDrew,,1DLsogyGi0pwPtwV78D8uZ,,0.66,0.729,6,-5.244,0,0.0529,0.000851,0.00679,0.108,0.439,46,64136,brostep,"complextro, edm, electro house, gaming edm"
12,4z7t5KsfkxMC1PdOLgog4V,One Click Headshot,4.7834,False,51,5pURjDtRUYX2TqW8A0DhT3,Feed Me's Escape from Electric Mountain,2012,album,Feed Me,,5FWi1mowu6uiU2ZHwr1rby,,0.659,0.911,2,-4.628,1,0.0844,0.000363,0.00812,0.35,0.498,53,350593,complextro,"edm, electro house"
13,5yQmKyKEdjtxFDPIK9mFLn,Rise & Fall (feat. Krewella),6.03125,False,45,5xkfX4DNx7hZYrGy8H1YUJ,Rise & Fall (feat. Krewella),2012,album,Adventure Club,,5CdJjUi9f0cVgo9nFuJrFa,,0.513,0.819,5,-5.372,0,0.0454,0.00224,0.153,0.058,0.449,58,279886,brostep,"canadian electronic, edm, electro house, electronic trap, electropop, filthstep, future bass, melodic dubstep, pop dance, pop edm"
14,0sVn1pc5KDCgBBnm4jHl6I,Pacifica - Kito & Reija Remix,4.804283333333333,False,40,5709RpNkA5IjA3E9H3sQzu,Pacifica - EP,2011,album,Spor,,42EZt9LfgsaF0WHlDC3FoM,,0.499,0.642,9,-6.491,0,0.0442,0.0151,0.0474,0.361,0.12,40,50200,darkstep,"drum and bass, neurofunk"
15,3BVAGwQGSiWXpIWx8QbMvP,Must Be The Feeling - Flux Pavilion & Nero Remix,5.181183333333333,False,39,2UBu7ee7s243kGYEVyDQwh,Must Be The Feeling,2012,album,NERO,Flux Pavilion,4uRYpUQZrNrY5t8tAv3XrD,7muzHifhMdnfN1xncRLOqk,0.259,0.937,6,-4.712,1,0.0543,0.00129,0.795,0.0533,0.0395,59,807755,drum and bass,"edm, electro house, melodic dubstep"
16,3ePpNbJqdKdoXpGRBLIkrf,Firestarter,4.106,True,33,5Bso4UAc8nYhqF2ffkkagL,"Free, Vol. 4",2012,album,KDrew,,1DLsogyGi0pwPtwV78D8uZ,,0.513,0.829,0,-4.769,1,0.0374,0.000216,0.00192,0.241,0.505,46,64136,brostep,"complextro, edm, electro house, gaming edm"
17,3wjen23Xb9H1kU4V50QyiZ,Gold (feat. Yuna),4.284066666666667,False,53,1gLPm1bWZFHv6ORBbEmQPM,Calling All Heroes,2013,album,Adventure Club,Yuna,5CdJjUi9f0cVgo9nFuJrFa,3kHVioJpVxlazAAKQ64pC1,0.479,0.675,9,-4.893,0,0.0413,0.0319,0.00536,0.128,0.189,58,279886,brostep,"canadian electronic, edm, electro house, electronic trap, electropop, filthstep, future bass, melodic dubstep, pop dance, pop edm"
18,58nCzdTnMcUxHz326Y3Ttf,The Home We Made Pt. II,5.353833333333333,False,40,1aafgivaE37la45ixpNjCj,Ghosts EP,2013,album,Crywolf,,33o00sXuyWiApOFzo0vr0z,,0.612,0.722,2,-4.044,1,0.0298,0.00429,0.0212,0.129,0.275,50,134278,chillstep,"edm, indie poptimism, melodic dubstep"
19,70tuzGbIrqGUi75yy82U1n,Jobb,3.9433333333333334,False,36,0AYslRPMrBlGQiyEyVoFAB,Fläcken,2008,album,Afasi & Filthy,,0I2XqVXqHScXjHhk6AYYRe,,0.722,0.621,9,-6.752,0,0.115,0.0466,0.0,0.266,0.578,33,13368,swedish hip hop,
20,118vbJqycPASVgrYnCzb9F,Disconnected,4.03125,False,60,4ZY8kFYUysWonTFdD43aJe,Disconnected,2012,album,Pegboard Nerds,,0lLY20XpZ9yDobkbHI7u1y,,0.713,0.891,9,-5.724,0,0.0352,0.000513,0.0688,0.0687,0.365,61,337195,brostep,"danish electronic, edm, electro house, gaming edm, glitch, speedrun"
21,5OBXXaWD8ruhiDzBP3i7S0,HeadRush,4.527916666666667,False,33,5MN0erWUpadf8TOpzmSTW8,HeadRush / Falling Skies,2012,album,501,Belle Humble,6zisJbwMg53zsB4tgVf96L,5Uh9Oco0Khv18UvTo2PucM,0.383,0.886,7,-3.406,0,0.0457,0.0013,0.0738,0.295,0.302,27,24175,filthstep,
22,2Fd1oVkkGmw44g1O8dk55f,Falling Skies,4.4634833333333335,False,27,5MN0erWUpadf8TOpzmSTW8,HeadRush / Falling Skies,2012,album,501,,6zisJbwMg53zsB4tgVf96L,,0.528,0.911,2,-5.967,0,0.0453,5.65e-05,0.122,0.584,0.08,27,24175,filthstep,
23,6zDwrk0h49oE3RYNGZ822v,Circles - Original,4.428566666666667,False,51,0WZlvLrQs7odInC1UGpw3z,Circles - Single,2012,album,KDrew,,1DLsogyGi0pwPtwV78D8uZ,,0.446,0.821,0,-4.319,1,0.0544,0.00512,2.35e-06,0.0598,0.25,46,64136,brostep,"complextro, edm, electro house, gaming edm"
24,283LAlCpfArRZOXPfkOQj0,Crave You - Adventure Club Remix,3.9488333333333334,False,62,3XaquASzv8n12oZLxej2YA,Crave You (Remixes),2010,album,Flight Facilities,,1lc8mnyGrCLtPhCoWjRxjM,,0.634,0.692,1,-5.646,0,0.0997,0.00586,0.000116,0.0726,0.0839,66,396176,alternative dance,"aussietronica, australian dance, australian indie, indie soul, nu disco"
25,2Aly0kBHnpKvRiKi0qSaNR,Bad Machine (feat. Insomnia) - Original Mix,3.88705,False,36,3ShpyWJqmJhX3G62QPQkfo,The Other Side,2012,album,Aami,"Nostalgia, Insomnia",29QNOhsjKdpqb6I72n9SrE,"4xNbXMjJ7uODEUHraMXYGO, 4oZkWkCFkvdyPTsmWiBJAk",0.606,0.824,9,-6.243,0,0.0371,0.000799,0.0207,0.23,0.423,21,559,melodic dubstep,
26,33CE4nXLOB9O3lZTqawwow,All Time Low (Acoustic),2.881866666666667,False,51,32fySVHCiE5LJdJvFo197h,All Time Low (Acoustic),2019,album,Landon Austin,Kaya May,2WROyFfIOmKtRopsTrIL52,7o6uQNwIGw0FgF8U5vnfBV,0.535,0.24,1,-11.334,1,0.0371,0.756,0.000619,0.181,0.518,60,69504,channel pop,"indiecoustica, neo mellow, viral pop"
27,3VPBqHUd17ZvEgabW9ZOUU,Ghost Assassin - Original Mix,3.6937333333333333,False,54,3NmmUnjNr6G7wuBWSn0zKw,Ghost Assassin EP,2012,album,Maduk,Veela,6TaaqqCMRMSpvNHClfnbEL,3CiuuHKIxxJPoNRvF94GtR,0.483,0.923,7,-4.477,1,0.0475,0.00809,4.06e-05,0.0929,0.0798,55,76088,chillstep,"dancefloor dnb, drum and bass, dutch dnb, liquid funk"
28,40f9IDTMDpFf3CnTcPhY5F,Oh That I Had,5.244433333333333,False,42,11yxajuBoR78FebAWdU8lt,MEDS EP,2010,album,Mt. Eden,,3YAy9OUnnRsk2JLTaOLcw2,,0.392,0.722,7,-5.033,1,0.0449,0.0831,0.0674,0.174,0.0637,43,86840,chillstep,nz electronic
29,4yNoaxUJjnP50AXYoAZx4S,Emotional,3.92125,False,57,4NjZGWBcqV7qImMk5NTd5H,Tesla,2015,album,Flux Pavilion,Matthew Koma,7muzHifhMdnfN1xncRLOqk,1mU61l2mcjEFraXZLpvVMo,0.335,0.865,11,-4.672,0,0.0944,0.0027,0.276,0.107,0.411,63,697273,bass trap,"brostep, classic dubstep, edm, electro house, electronic trap, pop dance"
30,6LKJwN8aF3uYod3JUPXjQR,Time Bomb,3.5274,False,55,5m9N5G6dcD31Vkix8krIYR,Monstercat - Best of DnB & Drumstep Vol. 1,2012,album,Feint,"Boyinaband, Veela",6RQ9kYbHisp1UUbnfwHNeU,"7kfzadZaOgR90Tp8OYH5gM, 3CiuuHKIxxJPoNRvF94GtR",0.337,0.811,11,-4.925,1,0.0339,0.000483,0.0213,0.182,0.227,60,119137,chillstep,"dancefloor dnb, edm, gaming edm"
31,6TQIpfAmTrdqmKWDhSE7jZ,Further Away,4.299483333333334,False,33,4R8INoNHq3D2HHI5YDzak3,Between The Lines,2012,album,Camo & Krooked,,2N8IPNZTiNo3nj4mreOlHU,,0.442,0.648,8,-5.692,1,0.0465,0.00143,0.469,0.662,0.1,56,188225,austrian dnb,"dancefloor dnb, drum and bass, jump up, liquid funk"
32,6xpuhGiLFVuoQRv03HWLu4,Sierra Leone,4.881733333333333,False,51,4R0UW7uwzndY5XS1GQmq4m,Sierra Leone (Remixes),2013,album,Mt. Eden,Freshlyground,3YAy9OUnnRsk2JLTaOLcw2,7AcV1lk8Zrgo1691PDWEle,0.361,0.736,3,-4.318,1,0.0376,0.000484,0.153,0.481,0.117,43,86840,chillstep,nz electronic
33,4znKN3GZ8kqCqhy06NER3C,Raindrops (feat. Carmen Forbes) - Radio Edit,3.188,False,30,03bqeiXnRb3rtbf38EoA7T,Raindrops (feat. Carmen Forbes),2012,album,Fytch,"Captain Crunch, Carmen Forbes",4A18NGfdKU0HrkmvVlPO7I,"0klOVtF0NbuQGymfqOhuK0, 4XY6mCv2cLDP5bSYILeHk5",0.445,0.752,7,-4.507,0,0.0619,0.119,3.46e-05,0.281,0.447,48,33734,bass trap,"filthstep, future bass, traprun"
34,5MAM4PXb95MPl2JWSlMI6L,Against The Sun,3.538133333333333,False,55,7GV1NGxqCeVlyJInQhk9t0,Against The Sun,2014,album,Rootkit,Anna Yvette,01olvHW7uzIInQx9VTNuJm,2Ndq6RparrhEoceel7LC4Z,0.325,0.663,11,-5.869,0,0.074,0.0313,0.0101,0.0737,0.147,49,48840,chillstep,"complextro, edm, electro house, future bass, gaming edm, melodic dubstep, pop edm"
35,08ypS6EF8F13l8EUa5I2J4,Snake Eyes,4.4139,False,60,0nDZ9Ro4SA0P7d2992xC98,Snake Eyes,2012,album,Feint,CoMa,6RQ9kYbHisp1UUbnfwHNeU,3OAmPUVxyAIpRfmo4xiS5A,0.501,0.815,7,-5.882,0,0.0747,0.000425,0.115,0.264,0.175,60,119137,chillstep,"dancefloor dnb, edm, gaming edm"
36,0QARyKgSMUSmAz6ngDqJrA,Rain - MitiS Remix,3.67815,False,41,5F6Frctt7dffnBrBDmUqmm,Quantum,2014,album,Astronaut,MitiS,7lcbOlKjk4gLsCxd481hik,16yUpGkBRgc2eDMd3bB3Uw,0.35,0.964,11,-2.859,1,0.082,0.0855,0.00172,0.134,0.358,39,23268,complextro,"electro house, gaming edm"
37,3N4DI1vuTSX1tz7fa2NQZw,Rehab,3.5824333333333334,False,75,0E4xv5gPjykrwBgBZzI8XG,Back To Black (Deluxe Edition),2006,album,Amy Winehouse,,6Q192DXotxtaysaqNPy5yR,,0.407,0.558,0,-13.609,1,0.0552,0.0541,1.51e-06,0.34,0.777,78,7551110,british soul,"indie r&b, neo soul"
38,3NKLPcvDM0pefpLNcmui2W,Tidal Wave,3.8137666666666665,False,61,5VDg2zP4jsc8Ufj1dPEA3d,Torus,2013,album,Sub Focus,Alpines,0QaSiI5TLA4N7mcsdxShDO,5Rja2iSIMNhzHMRoKzHKNX,0.522,0.868,5,-5.307,1,0.0412,0.0446,1.3e-06,0.635,0.514,64,311533,dancefloor dnb,"drum and bass, uk dance, uk dnb"
39,6VjVfKucrPreTP5KnzKgf1,Collide,4.824233333333333,False,45,57GUqqUp78PFRbqwIib2hd,Collide,2013,album,Hellberg,"Deutgen, SPLITBREED",1kgxTtyF91VaqLD3J6Krd5,"23DJMI9DCZpuPaYy4izpdb, 3Fe5n1HNeOPaDPwcPIx6Qc",0.586,0.778,9,-4.513,0,0.117,0.00193,0.000102,0.0598,0.42,48,49576,chillstep,"complextro, edm, electro house, gaming edm, pop dance, pop edm"
40,7o4QDgTxIq7Tq5jjEjzvE4,Child's Anthem,2.7537666666666665,False,42,1mnu4hYvdwQgZXcNvtJ3D3,Toto,1978,album,TOTO,,0PFtn5NtBbbUNbU9EAmIWF,,0.438,0.641,9,-7.203,1,0.0347,0.00657,0.937,0.136,0.338,74,2094705,album rock,"classic rock, mellow gold, rock, soft rock, yacht rock"
41,7uzTTTPJHiOwmSHfiZUxjY,Super Galaxy Rumble,1.981,False,33,4pg51OJaG6MGlpRFxWWLpr,The Music of League of Legends Vol. 1,2015,album,League of Legends,,47mIJdHORyRerp4os813jD,,0.332,0.893,5,-8.258,1,0.0427,3.9e-06,0.866,0.274,0.404,86,1241597,speedrun,video game music
42,31R8eTyaTxfuhcdOi5r9q8,Retro City,4.854583333333333,False,39,7EFAbqe9dcHTkhVvACZKMu,Retro City,2012,album,Adventure Club,,5CdJjUi9f0cVgo9nFuJrFa,,0.479,0.893,5,-3.661,0,0.0602,0.0193,0.0503,0.0626,0.366,58,279886,brostep,"canadian electronic, edm, electro house, electronic trap, electropop, filthstep, future bass, melodic dubstep, pop dance, pop edm"
43,4Uhty1kvytzqhwoLO2CVoi,Flight,3.6571333333333333,False,60,6mOUQ523znFWPykhV0uvfa,Flight,2013,album,Tristam,Braken,28Ky95tmlHktB96DBUoB0g,1SFSz2SewAsgPeFvGmAouI,0.433,0.758,2,-5.736,1,0.662,0.0409,2.64e-05,0.102,0.22,56,208719,brostep,"chillstep, dancefloor dnb, edm, electro house, gaming edm"
44,0UTag2zjsrY1Lcm2V8Y7zD,Emoji,3.6665833333333335,False,36,2rSOPAGlhWUAzjdThQcChJ,Pink Cloud,2015,album,Pegboard Nerds,,0lLY20XpZ9yDobkbHI7u1y,,0.562,0.984,1,-2.828,0,0.0527,0.00799,0.859,0.268,0.448,61,337195,brostep,"danish electronic, edm, electro house, gaming edm, glitch, speedrun"
45,16E1xND1O6UfQ5eHZBOU6W,So Bad (Savoy & Heather Bright),4.586783333333333,False,26,0wuNmnCYhWgMf7oGBLoR29,Supertrail,2012,album,Savoy,,25vU5DYwHIHhg1ViWV3SJq,,0.575,0.865,9,-3.706,0,0.036,0.0444,0.00111,0.0865,0.303,38,24993,complextro,"electro house, gaming edm"
46,1fc12F23NDBAN1Y75GEc1v,Bass Cannon,5.1735,False,51,6byw7VMDEduQESVKJ8tbWA,Bass Cannon,2011,album,Flux Pavilion,,7muzHifhMdnfN1xncRLOqk,,0.675,0.827,8,-4.292,0,0.0363,0.00138,0.865,0.68,0.0402,63,697273,bass trap,"brostep, classic dubstep, edm, electro house, electronic trap, pop dance"
47,1mj3t3VY7mm0APmibyG8LT,Promises - Skrillex & Nero Remix,4.48245,False,37,5ZxEBTl8KlJ2AEC1dxNTMY,100% Clubland Hardcore,2017,album,NERO,,4uRYpUQZrNrY5t8tAv3XrD,,0.528,0.797,9,-3.85,0,0.0388,0.0037,0.000214,0.0567,0.235,59,807755,drum and bass,"edm, electro house, melodic dubstep"
48,1u7iCibYTqMmliirFF7sjJ,Eyes - Radio Mix,3.6243333333333334,False,22,1SQOC4CKszrzXos8aQnxqv,Eyes,2014,album,Project 46,BYNON,2RhRT6DNOVoDTfS0rG31pZ,033DxVOVQqNlUy6yEI03ar,0.488,0.894,11,-3.924,1,0.155,0.0231,0.0,0.125,0.231,48,48404,complextro,"edm, electro house, gaming edm, pop dance, pop edm, progressive electro house"
49,2BTPW7osibjN9gFDRY4mYN,Do or Die (feat. Childish Gambino),4.084833333333333,True,53,1mpCVicVx2roKL7Bq2i6Vz,Blow the Roof,2013,album,Flux Pavilion,Childish Gambino,7muzHifhMdnfN1xncRLOqk,73sIBHcqh3Z3NyqHKZ7FOL,0.624,0.83,11,-5.018,0,0.121,0.000242,1.4e-05,0.306,0.432,63,697273,bass trap,"brostep, classic dubstep, edm, electro house, electronic trap, pop dance"
50,2C8YrzMqdi6HgijBREcFAk,Doomsday,4.194216666666667,False,50,6GazPcWYAUnvB83tXIbs97,Welcome Reality,2011,album,NERO,,4uRYpUQZrNrY5t8tAv3XrD,,0.326,0.845,1,-4.696,1,0.161,0.000239,0.00781,0.292,0.133,59,807755,drum and bass,"edm, electro house, melodic dubstep"
